"","ZipCode","City","Metro","CountyName"
"112",92020,"El Cajon","San Diego-Carlsbad","San Diego County"
"113",94553,"Martinez","San Francisco-Oakland-Hayward","Contra Costa County"
"114",92201,"Indio","Riverside-San Bernardino-Ontario","Riverside County"
"115",94015,"Daly City","San Francisco-Oakland-Hayward","San Mateo County"
"116",92399,"Yucaipa","Riverside-San Bernardino-Ontario","San Bernardino County"
"117",92882,"Corona","Riverside-San Bernardino-Ontario","Riverside County"
"118",93308,"Oildale","Bakersfield","Kern County"
"119",95008,"Campbell","San Jose-Sunnyvale-Santa Clara","Santa Clara County"
"120",92656,"Aliso Viejo","Los Angeles-Long Beach-Anaheim","Orange County"
"121",92056,"Oceanside","San Diego-Carlsbad","San Diego County"
"122",92704,"Santa Ana","Los Angeles-Long Beach-Anaheim","Orange County"
"123",92071,"Santee","San Diego-Carlsbad","San Diego County"
"124",92626,"Costa Mesa","Los Angeles-Long Beach-Anaheim","Orange County"
"125",95350,"Modesto","Modesto","Stanislaus County"
"126",95624,"Elk Grove","Sacramento--Roseville--Arden-Arcade","Sacramento County"
"127",92509,"Riverside","Riverside-San Bernardino-Ontario","Riverside County"
"128",92024,"Encinitas","San Diego-Carlsbad","San Diego County"
"129",92553,"Moreno Valley","Riverside-San Bernardino-Ontario","Riverside County"
"130",92880,"Eastvale","Riverside-San Bernardino-Ontario","Riverside County"
"131",92253,"La Quinta","Riverside-San Bernardino-Ontario","Riverside County"
"132",90006,"Los Angeles","Los Angeles-Long Beach-Anaheim","Los Angeles County"
"133",92223,"Beaumont","Riverside-San Bernardino-Ontario","Riverside County"
"134",95020,"Gilroy","San Jose-Sunnyvale-Santa Clara","Santa Clara County"
"135",90255,"Huntington Park","Los Angeles-Long Beach-Anaheim","Los Angeles County"
"136",90028,"Los Angeles","Los Angeles-Long Beach-Anaheim","Los Angeles County"
"137",94115,"San Francisco","San Francisco-Oakland-Hayward","San Francisco County"
"138",92234,"Cathedral City","Riverside-San Bernardino-Ontario","Riverside County"
"139",93003,"Ventura","Oxnard-Thousand Oaks-Ventura","Ventura County"
"140",91786,"Upland","Riverside-San Bernardino-Ontario","San Bernardino County"
"141",93312,"Bakersfield","Bakersfield","Kern County"
"142",90024,"Los Angeles","Los Angeles-Long Beach-Anaheim","Los Angeles County"
"143",92057,"Oceanside","San Diego-Carlsbad","San Diego County"
"144",92708,"Fountain Valley","Los Angeles-Long Beach-Anaheim","Orange County"
"145",93063,"Simi Valley","Oxnard-Thousand Oaks-Ventura","Ventura County"
"146",92103,"San Diego","San Diego-Carlsbad","San Diego County"
"147",93277,"Visalia","Visalia-Porterville","Tulare County"
"148",93720,"Fresno","Fresno","Fresno County"
"149",91402,"Los Angeles","Los Angeles-Long Beach-Anaheim","Los Angeles County"
"150",94117,"San Francisco","San Francisco-Oakland-Hayward","San Francisco County"
"151",91977,"Spring Valley","San Diego-Carlsbad","San Diego County"
"152",92507,"Riverside","Riverside-San Bernardino-Ontario","Riverside County"
"153",92037,"San Diego","San Diego-Carlsbad","San Diego County"
"154",91367,"Los Angeles","Los Angeles-Long Beach-Anaheim","Los Angeles County"
"155",94102,"San Francisco","San Francisco-Oakland-Hayward","San Francisco County"
"156",92346,"Highland","Riverside-San Bernardino-Ontario","San Bernardino County"
"157",95207,"Stockton","Stockton-Lodi","San Joaquin County"
"158",95831,"Sacramento","Sacramento--Roseville--Arden-Arcade","Sacramento County"
"159",96003,"Redding","Redding","Shasta County"
"160",93436,"Lompoc","Santa Maria-Santa Barbara","Santa Barbara County"
"161",94121,"San Francisco","San Francisco-Oakland-Hayward","San Francisco County"
"162",95828,"Florin","Sacramento--Roseville--Arden-Arcade","Sacramento County"
"163",95616,"Davis","Sacramento--Roseville--Arden-Arcade","Yolo County"
"164",91406,"Los Angeles","Los Angeles-Long Beach-Anaheim","Los Angeles County"
"165",93291,"Visalia","Visalia-Porterville","Tulare County"
"166",90049,"Los Angeles","Los Angeles-Long Beach-Anaheim","Los Angeles County"
"167",91766,"Pomona","Los Angeles-Long Beach-Anaheim","Los Angeles County"
"168",91706,"Baldwin Park","Los Angeles-Long Beach-Anaheim","Los Angeles County"
"169",92260,"Palm Desert","Riverside-San Bernardino-Ontario","Riverside County"
"170",90020,"Los Angeles","Los Angeles-Long Beach-Anaheim","Los Angeles County"
"171",91744,"La Puente","Los Angeles-Long Beach-Anaheim","Los Angeles County"
"172",92801,"Anaheim","Los Angeles-Long Beach-Anaheim","Orange County"
