year,state,county_raw,total_homeless_count,shared_obs
2013,CA,Richmond/Contra Costa County CoC,2000,1
2013,CA,"Salinas/Monterey, San Benito Counties CoC",2955,2
2013,CA,Marin County CoC,676,1
2013,CA,Watsonville/Santa Cruz ,3536,1
2013,CA,Mendocino County CoC,1392,1
2013,CA,Turlock/Modesto/Stanislaus County CoC,1201,1
2013,CA,Stockton/San Joaquin County CoC,1541,1
2013,CA,Daly/San Mateo County CoC,1995,1
2013,CA,"Visalia, Kings, Tulare Counties CoC",705,2
2013,CA,Fresno/Madera County CoC,3131,1
2013,CA,"Roseville/Rocklin/Placer, Nevada Counties CoC",908,2
2013,CA,"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",851,7
2013,CA,Napa ,245,1
2013,CA,Vallejo/Solano County CoC,1329,1
2013,CA,Chico/Paradise/Butte County CoC,712,1
2013,CA,Merced ,372,1
2013,CA,Davis/Woodland/Yolo County CoC,474,1
2013,CA,Humboldt County CoC,864,1
2013,CA,"Colusa, Glenn, Trinity Counties CoC",696,3
2013,CA,Yuba ,1485,1
2013,CA,El Dorado County CoC,180,1
2013,CA,"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",376,4
2013,CA,Los Angeles ,35524,1
2013,CA,San Diego ,8879,1
2013,CA,Santa Ana/Anaheim/Orange County CoC,4251,1
2013,CA,Santa Maria/Santa Barbara County CoC,1882,1
2013,CA,Bakersfield/Kern County CoC,1152,1
2013,CA,Long Beach CoC,2847,0
2013,CA,Pasadena CoC,772,0
2013,CA,Riverside ,2978,1
2013,CA,San Bernardino ,2321,1
2013,CA,Oxnard/San Buenaventura/Ventura County CoC,1674,1
2013,CA,Glendale CoC,318,0
2013,CA,Imperial County CoC,252,1
2013,CA,San Luis Obispo County CoC,2357,1
2014,CA,San Jose/Santa Clara ,7567,1
2014,CA,San Francisco CoC,6408,1
2014,CA,Oakland/Alameda County CoC,4272,1
2014,CA,Sacramento ,2449,1
2014,CA,Santa Rosa/Petaluma/Sonoma County CoC,4266,1
2014,CA,Richmond/Contra Costa County CoC,2009,1
2014,CA,"Salinas/Monterey, San Benito Counties CoC",2962,2
2014,CA,Marin County CoC,679,1
2014,CA,Watsonville/Santa Cruz ,3529,1
2014,CA,Mendocino County CoC,1404,1
2014,CA,Turlock/Modesto/Stanislaus County CoC,1156,1
2014,CA,Stockton/San Joaquin County CoC,1588,1
2014,CA,Daly/San Mateo County CoC,2024,1
2014,CA,"Visalia, Kings, Tulare Counties CoC",763,2
2014,CA,Fresno/Madera County CoC,2592,1
2014,CA,"Roseville/Rocklin/Placer, Nevada Counties CoC",762,2
2014,CA,"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",630,7
2014,CA,Napa ,285,1
2014,CA,Vallejo/Solano County CoC,1295,1
2014,CA,Chico/Paradise/Butte County CoC,696,1
2014,CA,Merced ,768,1
2014,CA,Davis/Woodland/Yolo County CoC,442,1
2014,CA,Humboldt County CoC,932,1
2014,CA,"Colusa, Glenn, Trinity Counties CoC",567,3
2014,CA,Yuba ,726,1
2014,CA,El Dorado County CoC,195,1
2014,CA,"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",382,4
2014,CA,Los Angeles ,34393,1
2014,CA,San Diego ,8506,1
2014,CA,Santa Ana/Anaheim/Orange County CoC,3833,1
2014,CA,Santa Maria/Santa Barbara County CoC,1832,1
2014,CA,Bakersfield/Kern County CoC,992,1
2014,CA,Long Beach CoC,2738,0
2014,CA,Pasadena CoC,666,0
2014,CA,Riverside ,2945,1
2014,CA,San Bernardino ,2315,1
2014,CA,Oxnard/San Buenaventura/Ventura County CoC,1428,1
2014,CA,Glendale CoC,292,0
2014,CA,Imperial County CoC,298,1
2014,CA,San Luis Obispo County CoC,2366,1
2015,CA,San Jose/Santa Clara ,6556,1
2015,CA,San Francisco CoC,6775,1
2015,CA,Oakland/Alameda County CoC,4040,1
2015,CA,Sacramento ,2659,1
2015,CA,Santa Rosa/Petaluma/Sonoma County CoC,3097,1
2015,CA,Richmond/Contra Costa County CoC,2031,1
2015,CA,"Salinas/Monterey, San Benito Counties CoC",2959,2
2015,CA,Marin County CoC,1318,1
2015,CA,Watsonville/Santa Cruz ,1964,1
2015,CA,Mendocino County CoC,947,1
2015,CA,Turlock/Modesto/Stanislaus County CoC,1408,1
2015,CA,Stockton/San Joaquin County CoC,1708,1
2015,CA,Daly/San Mateo County CoC,1483,1
2015,CA,"Visalia, Kings, Tulare Counties CoC",862,2
2015,CA,Fresno/Madera County CoC,1722,1
2015,CA,"Roseville/Rocklin/Placer, Nevada Counties CoC",796,2
2015,CA,"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",591,7
2015,CA,Napa ,293,1
2015,CA,Vallejo/Solano County CoC,1082,1
2015,CA,Chico/Paradise/Butte County CoC,571,1
2015,CA,Merced ,898,1
2015,CA,Davis/Woodland/Yolo County CoC,498,1
2015,CA,Humboldt County CoC,1180,1
2015,CA,"Colusa, Glenn, Trinity Counties CoC",136,3
2015,CA,Yuba ,716,1
2015,CA,El Dorado County CoC,269,1
2015,CA,"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",430,4
2015,CA,Tehama County CoC,138,1
2015,CA,Lake County CoC,315,1
2015,CA,Los Angeles ,41174,1
2015,CA,San Diego ,8742,1
2015,CA,Santa Ana/Anaheim/Orange County CoC,4452,1
2015,CA,Santa Maria/Santa Barbara County CoC,1729,1
2015,CA,Bakersfield/Kern County CoC,954,1
2015,CA,Long Beach CoC,2345,0
2015,CA,Pasadena CoC,632,0
2015,CA,Riverside ,2372,1
2015,CA,San Bernardino ,2149,1
2015,CA,Oxnard/San Buenaventura/Ventura County CoC,1417,1
2015,CA,Glendale CoC,208,0
2015,CA,Imperial County CoC,554,1
2015,CA,San Luis Obispo County CoC,1515,1
2015,CA,"Inyo, Mono, Alpine Counties CoC",53,3
2016,CA,San Jose/Santa Clara ,6524,1
2016,CA,San Francisco CoC,6996,1
2016,CA,Oakland/Alameda County CoC,4145,1
2016,CA,Sacramento ,2500,1
2016,CA,Santa Rosa/Petaluma/Sonoma County CoC,2906,1
2016,CA,Richmond/Contra Costa County CoC,1730,1
2016,CA,"Salinas/Monterey, San Benito Counties CoC",3022,2
2016,CA,Marin County CoC,1258,1
2016,CA,Watsonville/Santa Cruz ,1959,1
2016,CA,Mendocino County CoC,1242,1
2016,CA,Turlock/Modesto/Stanislaus County CoC,1434,1
2016,CA,Stockton/San Joaquin County CoC,1780,1
2016,CA,Daly/San Mateo County CoC,1361,1
2016,CA,"Visalia, Kings, Tulare Counties CoC",792,2
2016,CA,Fresno/Madera County CoC,1883,1
2016,CA,"Roseville/Rocklin/Placer, Nevada Counties CoC",1021,2
2016,CA,"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",1272,7
2016,CA,Napa ,317,1
2016,CA,Vallejo/Solano County CoC,1118,1
2016,CA,Chico/Paradise/Butte County CoC,574,1
2016,CA,Merced ,516,1
2016,CA,Davis/Woodland/Yolo County CoC,532,1
2016,CA,Humboldt County CoC,1134,1
2016,CA,"Colusa, Glenn, Trinity Counties CoC",115,3
2016,CA,Yuba ,702,1
2016,CA,El Dorado County CoC,269,1
2016,CA,"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",632,4
2016,CA,Tehama County CoC,133,1
2016,CA,Lake County CoC,332,1
2016,CA,Los Angeles ,43854,1
2016,CA,San Diego ,8669,1
2016,CA,Santa Ana/Anaheim/Orange County CoC,4319,1
2016,CA,Santa Maria/Santa Barbara County CoC,1813,1
2016,CA,Bakersfield/Kern County CoC,1067,1
2016,CA,Long Beach CoC,2250,0
2016,CA,Pasadena CoC,530,0
2016,CA,Riverside ,2165,1
2016,CA,San Bernardino ,1887,1
2016,CA,Oxnard/San Buenaventura/Ventura County CoC,1271,1
2016,CA,Glendale CoC,240,0
2016,CA,Imperial County CoC,380,1
2016,CA,San Luis Obispo County CoC,1368,1
2016,CA,"Inyo, Mono, Alpine Counties CoC",130,3
2017,CA,San Jose/Santa Clara ,7394,1
2017,CA,San Francisco CoC,6858,1
2017,CA,Oakland/Alameda County CoC,5629,1
2017,CA,Sacramento ,3665,1
2017,CA,Santa Rosa/Petaluma/Sonoma County CoC,2835,1
2017,CA,Richmond/Contra Costa County CoC,1607,1
2017,CA,"Salinas/Monterey, San Benito Counties CoC",3364,2
2017,CA,Marin County CoC,1117,1
2017,CA,Watsonville/Santa Cruz ,2249,1
2017,CA,Mendocino County CoC,1238,1
2017,CA,Turlock/Modesto/Stanislaus County CoC,1661,1
2017,CA,Stockton/San Joaquin County CoC,1542,1
2017,CA,Daly/San Mateo County CoC,1253,1
2017,CA,"Visalia, Kings, Tulare Counties CoC",853,2
2017,CA,Fresno/Madera County CoC,2016,1
2017,CA,"Roseville/Rocklin/Placer, Nevada Counties CoC",979,2
2017,CA,"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",934,7
2017,CA,Napa ,315,1
2017,CA,Vallejo/Solano County CoC,1232,1
2017,CA,Chico/Paradise/Butte County CoC,1195,1
2017,CA,Merced ,454,1
2017,CA,Davis/Woodland/Yolo County CoC,459,1
2017,CA,Humboldt County CoC,759,1
2017,CA,"Colusa, Glenn, Trinity Counties CoC",176,3
2017,CA,Yuba ,760,1
2017,CA,El Dorado County CoC,602,1
2017,CA,"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",367,4
2017,CA,Tehama County CoC,124,1
2017,CA,Lake County CoC,401,1
2017,CA,"Inyo, Mono, Alpine Counties CoC",121,3
2017,CA,Los Angeles ,55188,1
2017,CA,San Diego ,9160,1
2017,CA,Santa Ana/Anaheim/Orange County CoC,4792,1
2017,CA,Santa Maria/Santa Barbara County CoC,1860,1
2017,CA,Bakersfield/Kern County CoC,810,1
2017,CA,Long Beach CoC,1863,0
2017,CA,Pasadena CoC,575,0
2017,CA,Riverside ,2406,1
2017,CA,San Bernardino ,1866,1
2017,CA,Oxnard/San Buenaventura/Ventura County CoC,1152,1
2017,CA,Glendale CoC,168,0
2017,CA,Imperial County CoC,1154,1
2017,CA,San Luis Obispo County CoC,1125,1
