year,county,homeless_count
2009,santa cruz,2265
2007,santa cruz,2789
2010,santa cruz,2265
2011,santa cruz,2771
2013,santa cruz,3536
2015,santa cruz,1964
2016,santa cruz,1959
2012,santa cruz,2735
2008,santa cruz,2789
2014,santa cruz,3529
2017,santa cruz,2249
2012,yuba,492
2010,yuba,512
2013,yuba,1485
2011,yuba,649
2007,yuba,362
2017,yuba,760
2008,yuba,594
2014,yuba,726
2016,yuba,702
2015,yuba,716
2009,yuba,411
