name,class,fault_id,county,length_km,time,slip_rate
verdugo fault,A,104,los angeles,26,latest Quaternary (<15 ka),Between 0.2 and 1.0 mm/yr
vernalis fault,A,723,san joaquin,43,undifferentiated Quaternary (<1.6 Ma),Unspecified
verona fault,A,240,alameda,13,latest Quaternary (<15 ka),Unspecified
walker spring fault,A,190,lassen,40,late Quaternary (<130 ka),Unspecified
walnut creek fault,A,333,los angeles,19,undifferentiated Quaternary (<1.6 Ma),Unspecified
warm springs valley fault zone,A,1605,lassen,70,latest Quaternary (<15 ka),Between 1.0 and 5.0 mm/yr
waterman canyon fault zone,A,334,san bernardino,29,late Quaternary (<130 ka),Unspecified
watterson canyon fault,A,444,mono,22,undifferentiated Quaternary (<1.6 Ma),Unspecified
west calumet fault,A,396,san bernardino,11,undifferentiated Quaternary (<1.6 Ma),Unspecified
west huasna fault zone,A,371,san luis obispo,NA,late Quaternary (<130 ka),Unspecified
west margin fault,A,170,lake,NA,undifferentiated Quaternary (<1.6 Ma),Unspecified
"west napa fault, browns valley section",A,36a,napa,33,late Quaternary (<130 ka),Between 0.2 and 1.0 mm/yr
"west napa fault, napa  airport section",A,36b,napa,8,latest Quaternary (<15 ka),Between 0.2 and 1.0 mm/yr
west tahoe-dollar point fault zone,A,216,placer,NA,latest Quaternary (<15 ka),Between 0.2 and 1.0 mm/yr
west walker river fault zone,A,140,mono,16,latest Quaternary (<15 ka),Less than 0.2 mm/yr
whale gulch-bear harbor fault zone,A,156,humboldt,NA,late Quaternary (<130 ka),Unspecified
"white mountains fault zone, central section",A,47c,inyo,38,latest Quaternary (<15 ka),Between 0.2 and 1.0 mm/yr
"white mountains fault zone, hammil section",A,47b,mono,18,undifferentiated Quaternary (<1.6 Ma),Between 0.2 and 1.0 mm/yr
"white mountains fault zone, inyo-waucoba section",A,47d,inyo,29,latest Quaternary (<15 ka),Between 0.2 and 1.0 mm/yr
wight way fault,A,221,lake,NA,late Quaternary (<130 ka),Unspecified
wildcat fault,A,377,contra costa,15,undifferentiated Quaternary (<1.6 Ma),Unspecified
yellow butte fault,A,149,siskiyou,NA,undifferentiated Quaternary (<1.6 Ma),Unspecified
yuha basin faults,A,495,imperial,11,undifferentiated Quaternary (<1.6 Ma),Unspecified
zayante-vergeles fault zone,A,59,san mateo,87,latest Quaternary (<15 ka),NA
