name,class,fault_id,county,length_km,time,slip_rate
fitzhugh creek fault zone,A,174,modoc,NA,late Quaternary (<130 ka),Unspecified
fort sage fault,A,24,lassen,17,latest Quaternary (<15 ka),Less than 0.2 mm/yr
franz valley thrust,A,514,sonoma,7,undifferentiated Quaternary (<1.6 Ma),Unspecified
furnace creek fault zone,A,144,inyo,39,undifferentiated Quaternary (<1.6 Ma),Less than 0.2 mm/yr
garberville-briceland fault zone,A,19,humboldt,NA,undifferentiated Quaternary (<1.6 Ma),Unspecified
"garlock fault zone, central garlock section",A,69b,san bernardino,107,latest Quaternary (<15 ka),Greater than 5.0 mm/yr
"garlock fault zone, eastern garlock section",A,69c,san bernardino,60,latest Quaternary (<15 ka),Between 1.0 and 5.0 mm/yr
"garlock fault zone, western garlock section",A,69a,los angeles,110,latest Quaternary (<15 ka),Greater than 5.0 mm/yr
geyser peak fault zone,A,228,sonoma,NA,late Quaternary (<130 ka),Unspecified
gillem-big crack fault system,A,3,modoc,36,late Quaternary (<130 ka),Between 0.2 and 1.0 mm/yr
grapevine fault,A,184,inyo,29,late Quaternary (<130 ka),Less than 0.2 mm/yr
grapevine mountains fault,A,1094,inyo,23,undifferentiated Quaternary (<1.6 Ma),Less than 0.2 mm/yr
"great valley thrust fault system, coalinga (gv 13) section",A,28m,fresno,39,latest Quaternary (<15 ka),Between 1.0 and 5.0 mm/yr
"great valley thrust fault system, great valley 01 section",A,28a,glenn,57,undifferentiated Quaternary (<1.6 Ma),Less than 0.2 mm/yr
"great valley thrust fault system, great valley 02 section",A,28b,colusa,28,undifferentiated Quaternary (<1.6 Ma),Less than 0.2 mm/yr
"great valley thrust fault system, great valley 11 section",A,28k,fresno,31,middle and late Quaternary (<750 ka),Between 0.2 and 1.0 mm/yr
"great valley thrust fault system, great valley 12 section",A,28l,fresno,22,middle and late Quaternary (<750 ka),Between 1.0 and 5.0 mm/yr
"great valley thrust fault system, kettleman hills-north dome (gv 14) section",A,28n,fresno,30,middle and late Quaternary (<750 ka),Between 1.0 and 5.0 mm/yr
"great valley thrust fault system, laguna seca (gv 09) section",A,28i,merced,50,middle and late Quaternary (<750 ka),Between 1.0 and 5.0 mm/yr
"great valley thrust fault system, mysterious ridge (great valley 03) section",A,28c,yolo,66,undifferentiated Quaternary (<1.6 Ma),Between 1.0 and 5.0 mm/yr
"great valley thrust fault system, orestimba (gv 07) section",A,28g,san joaquin,76,late Quaternary (<130 ka),Between 0.2 and 1.0 mm/yr
"great valley thrust fault system, panoche hills (gv 10) section",A,28j,fresno,24,undifferentiated Quaternary (<1.6 Ma),Between 0.2 and 1.0 mm/yr
"great valley thrust fault system, quinto (gv 08) section",A,28h,merced,23,late Quaternary (<130 ka),Between 0.2 and 1.0 mm/yr
"great valley thrust fault system, trout creek (great valley 04a) and gordon valley (great valley 04b) sections",A,28d,yolo,61,late Quaternary (<130 ka),Between 1.0 and 5.0 mm/yr
green valley fault,A,37,napa,39,latest Quaternary (<15 ka),Between 1.0 and 5.0 mm/yr
"greenville fault zone, arroyo mocho section",A,53c,santa clara,25,latest Quaternary (<15 ka),Between 1.0 and 5.0 mm/yr
"greenville fault zone, clayton section",A,53a,contra costa,16,latest Quaternary (<15 ka),Between 0.2 and 1.0 mm/yr
"greenville fault zone, marsh creek-greenville section",A,53b,contra costa,35,latest Quaternary (<15 ka),Between 1.0 and 5.0 mm/yr
"greenville fault zone, san antonio valley section",A,53d,santa clara,24,undifferentiated Quaternary (<1.6 Ma),Between 0.2 and 1.0 mm/yr
grogan fault,A,11,humboldt,154,undifferentiated Quaternary (<1.6 Ma),Between 0.2 and 1.0 mm/yr
hanaupah fault,A,68,inyo,7,latest Quaternary (<15 ka),Less than 0.2 mm/yr
hanover fault,A,459,santa clara,4,undifferentiated Quaternary (<1.6 Ma),Unspecified
harper fault zone,A,112,san bernardino,79,latest Quaternary (<15 ka),Unspecified
hartley springs fault zone,A,43,mono,23,latest Quaternary (<15 ka),Between 0.2 and 1.0 mm/yr
haskins valley fault,A,204,plumas,NA,undifferentiated Quaternary (<1.6 Ma),Unspecified
