year,county,city,population,murder_and_nonnegligent_manslaughter,rape,robbery,aggravated_assault,burglary,larceny_theft,vehicle_theft,arson,sum_violent_crime,sum_property_crime,sum_index_crimes,crime_index
2016,humboldt,rio dell,3390,0,0,1,6,9,22,9,0,7,40,47,0.013864306784660767
2016,solano,rio vista,8554,0,1,2,29,24,58,17,0,32,99,131,0.015314472761281272
2016,san joaquin,ripon,15318,0,2,9,1,22,225,20,0,12,267,279,0.018213866039952998
2016,stanislaus,riverbank,24401,1,3,26,25,83,437,95,1,55,616,670,0.027457891070038112
2016,riverside,riverside,325896,10,141,586,987,1977,7355,1934,57,1724,11323,12990,0.039859341630458796
2016,placer,rocklin,62006,1,19,14,31,210,895,97,5,65,1207,1267,0.02043350643486114
2016,sonoma,rohnert park,42723,0,31,20,153,117,538,88,4,204,747,947,0.02216604639187323
2016,los angeles,rolling hills,1899,0,0,0,0,3,8,0,1,0,12,11,0.005792522380200105
2016,los angeles,rolling hills estates,8297,0,0,8,3,33,88,5,0,11,126,137,0.016511992286368567
2016,los angeles,rosemead,55129,1,9,73,84,308,714,227,9,167,1258,1416,0.025685211050445318
2016,placer,roseville,132566,0,21,95,83,393,2596,327,16,199,3332,3515,0.026515094368088347
2016,marin,ross,2492,0,1,0,0,11,13,1,0,1,25,26,0.01043338683788122
2016,sacramento,sacramento,495471,41,88,1136,2284,3070,9389,2824,173,3549,15456,18832,0.038008278991101395
2016,monterey,salinas,158729,35,86,325,559,695,2484,1563,11,1005,4753,5747,0.03620636430645944
2016,san bernardino,san bernardino,217303,62,123,903,1790,2353,4228,2597,70,2878,9248,12056,0.05548013603125589
2016,san mateo,san bruno,43613,0,16,47,46,141,857,108,1,109,1107,1215,0.027858665994084333
2016,orange,san clemente,65915,0,10,21,44,184,547,68,4,75,803,874,0.013259500872335584
2016,monterey,sand city,391,0,0,4,3,5,129,6,0,7,140,147,0.37595907928388744
2016,san diego,san diego,1413414,50,572,1387,3323,4743,18042,5839,239,5332,28863,33956,0.024024100511244404
2016,los angeles,san dimas,34884,0,15,24,43,188,491,85,2,82,766,846,0.024251805985552117
2016,los angeles,san fernando,25194,1,8,38,85,90,240,120,3,132,453,582,0.02310073827101691
2016,san francisco,san francisco,871155,57,342,3175,2616,4978,36991,5433,255,6190,47657,53592,0.06151832911479588
2016,los angeles,san gabriel,40580,0,6,38,54,224,374,57,3,98,658,753,0.018555938886150813
2016,fresno,sanger,25078,3,9,17,97,161,315,88,1,126,565,690,0.02751415583379855
2016,riverside,san jacinto,47475,4,1,67,56,348,1044,281,5,128,1678,1801,0.03793575566087414
2016,santa clara,san jose,1041844,47,451,1214,2175,4260,12786,7703,137,3887,24886,28636,0.027485880803651986
2016,orange,san juan capistrano,36798,1,9,15,62,108,275,53,7,87,443,523,0.01421272895266047
2016,alameda,san leandro,91870,3,31,280,173,499,2070,961,23,487,3553,4017,0.04372482856209862
2016,san luis obispo,san luis obispo,47774,0,39,21,118,251,1730,95,26,178,2102,2254,0.04718047473521162
