City,Population
Truckee,"16,735"
East Rancho Dominguez,"16,734"
McKinleyville,"16,612"
El Segundo,"16,610"
Artesia,"16,601"
Cherryland,"16,387"
Ripon,"16,386"
Los Osos,"16,292"
Walnut Park,"16,034"
Ukiah,"15,995"
Discovery Bay,"15,981"
East San Gabriel,"15,932"
Avocado Heights,"15,903"
Parkway,"15,885"
Fillmore,"15,870"
Laguna Woods,"15,850"
Stanford,"15,668"
Mountain House,"15,645"
Parlier,"15,618"
Phelan,"15,532"
McFarland,"15,506"
Rio Linda,"15,460"
La Palma,"15,428"
Pacific Grove,"15,413"
Alamo,"15,317"
Kerman,"15,282"
Clearlake,"15,267"
Alpine,"15,233"
Lamont,"15,222"
Susanville,"15,010"
Coto de Caza,"14,931"
Livingston,"14,896"
Salida,"14,658"
North Fair Oaks,"14,547"
Red Bluff,"14,539"
Mill Valley,"14,259"
California City,"14,198"
Auburn,"14,195"
Hawaiian Gardens,"14,159"
Lemon Hill,"14,096"
King City,"14,077"
El Sobrante CDP,"13,966"
El Sobrante,"13,736"
Oak Park,"13,730"
Muscoy,"13,726"
North Auburn,"13,707"
Sun Village,"13,516"
Avenal,"13,496"
Lindsay,"13,463"
Grover Beach,"13,459"
Carpinteria,"13,385"
Bonita,"13,324"
Big Bear City,"13,312"
Olivehurst,"13,309"
Solana Beach,"13,296"
Palos Verdes Estates,"13,273"
Lakeland Village,"13,170"
San Marino,"13,048"
Tehachapi,"13,011"
Half Moon Bay,"12,932"
Grass Valley,"12,817"
Magalia,"12,671"
Commerce,"12,661"
Grand Terrace,"12,584"
Marysville and San Anselmo,"12,476"
Clayton,"12,265"
Fortuna,"12,259"
Larkspur,"12,254"
Kingsburg,"12,108"
Emeryville,"12,086"
Diamond Springs,"11,989"
Healdsburg,"11,845"
Malibu,"11,820"
Alum Rock,"11,791"
Newman,"11,784"
Winton,"11,761"
Scotts Valley,"11,757"
Delhi,"11,735"
View Park-Windsor Hills,"11,580"
Mendota,"11,511"
Lake Los Angeles,"11,469"
Camp Pendleton South,"11,459"
Home Gardens,"11,442"
Signal Hill,"11,421"
Los Alamitos,"11,399"
Hillsborough,"11,387"
Canyon Lake,"11,280"
Tamalpais-Homestead Valley,"11,261"
Placerville,"11,175"
Rossmoor,"11,160"
Piedmont,"11,135"
Sonoma,"11,024"
Soquel,"10,862"
La Riviera,"10,851"
Sierra Madre,"10,793"
Citrus,"10,771"
Farmersville,"10,703"
Garden Acres,"10,701"
Anderson,"10,630"
Morro Bay,"10,543"
Exeter,"10,485"
Shasta Lake,"10,413"
Rodeo,"10,411"
East Whittier,"10,391"
San Diego Country Estates,"10,381"
Fairview,"10,299"
Orange Cove,"10,273"
Quartz Hill,"10,164"
Del Aire,"10,065"
Capitola,"10,010"
Madera Acres,"9,946"
Blackhawk,"9,860"
Mentone,"9,847"
Country Club,"9,846"
Rio del Mar,"9,775"
Marina del Rey,"9,771"
Lake Arrowhead,"9,765"
Charter Oak,"9,760"
Corte Madera,"9,751"
Rio Vista,"9,718"
Oak Hills,"9,700"
Golden Hills,"9,407"
Crestline,"9,381"
Taft,"9,272"
Good Hope,"9,173"
Calimesa,"9,160"
Fort Irwin,"9,086"
Tiburon,"9,084"
Valley Center,"9,059"
Bonadelle Ranchos-Madera Ranchos,"8,971"
Waterford,"8,962"
Larkfield-Wikiup,"8,926"
Live Oak city,"8,912"
Earlimart,"8,790"
August,"8,774"
Cloverdale,"8,656"
South San Gabriel,"8,643"
Montecito,"8,611"
West Athens,"8,574"
Ione,"8,568"
Los Altos Hills,"8,423"
Midway City,"8,374"
Gonzales,"8,306"
Firebaugh,"8,296"
Mammoth Lakes,"8,235"
Westlake Village,"8,217"
Pismo Beach,"8,168"
Alondra Park,"8,097"
Rolling Hills Estates,"8,058"
Templeton,"7,938"
Camp Pendleton North,"7,903"
Boyes Hot Springs,"7,863"
Vandenberg Village,"7,861"
Orland,"7,827"
Thousand Palms,"7,814"
Guadalupe,"7,783"
Cherry Valley,"7,755"
Spring Valley Lake,"7,744"
Corning,"7,710"
Oceano,"7,678"
Sebastopol,"7,674"
Woodlake,"7,658"
Piñon Hills,"7,592"
Escalon,"7,574"
Hughson,"7,565"
Gold River,"7,523"
Fairfax,"7,522"
Yreka,"7,518"
Ojai,"7,470"
Topanga,"7,449"
Orosi,"7,441"
Cotati,"7,410"
University of California-Davis,"7,379"
Oroville East,"7,368"
Plumas Lake,"7,367"
Homeland,"7,326"
Winters,"7,315"
Franklin CDP,"7,314"
Fort Bragg,"7,291"
Huron,"7,281"
Gridley,"7,246"
Alta Sierra,"7,207"
South Monrovia Island,"7,192"
Interlaken,"7,191"
Acton,"7,185"
Mecca,"7,174"
Atherton,"7,137"
Calipatria,"7,114"
Ladera Heights,"7,090"
Ben Lomond,"7,071"
Sausalito,"7,068"
Lemoore Station,"7,063"
Rancho Calaveras,"7,035"
Nuevo,"7,033"
San Martin,"7,010"
Joshua Tree,"6,980"
Desert Palms,"6,947"
Kentfield,"6,930"
Mira Monte,"6,912"
Pollock Pines,"6,905"
Loomis,"6,866"
Lake Mathews,"6,848"
Lucas Valley-Marinwood,"6,841"
Bermuda Dunes,"6,817"
Fowler,"6,790"
Crescent City,"6,787"
Thermalito,"6,704"
Castroville,"6,686"
East Porterville,"6,679"
Holtville,"6,621"
El Rio,"6,505"
Contra Costa Centre,"6,497"
Saranap and La Habra Heights,"6,492"
East Foothills,"6,278"
Pleasure Point,"6,277"
Fruitridge Pocket,"6,215"
Keyes,"6,185"
St. Helena,"6,102"
Willows,"6,072"
Colusa,"6,060"
Hidden Valley Lake,"6,044"
Eucalyptus Hills,"6,017"
East Pasadena,"5,971"
Silver Lakes,"5,966"
West Modesto,"5,911"
Gustine,"5,882"
Las Flores,"5,877"
Durham,"5,863"
Hilmar-Irwin,"5,846"
Solvang,"5,838"
Mayflower Village,"5,822"
Elverta,"5,821"
El Granada,"5,819"
Aptos,"5,797"
Villa Park,"5,790"
Cutler,"5,774"
